ID,Condition,MTurkTime,Gender,Age,SocialClass,Education,TIPI_O,TIPI_C,TIPI_E,TIPI_A,TIPI_N,RIBS_Tot,Task1,TaskType1,JS_Flu1,Flu1,Flex1,Orig1,OOI_Ord1,OOI_Lat1,OG_Orig1,OG_OOI_Ord1,OG_OOI_Lat1,OffWin1,ReadTime1,Task2,TaskType2,JS_Flu2,Flu2,Flex2,Orig2,OOI_Ord2,OOI_Lat2,OG_Orig2,OG_OOI_Ord2,OG_OOI_Lat2,OffWin2,ReadTime2,Task3,TaskType3,JS_Flu3,Flu3,Flex3,Orig3,OOI_Ord3,OOI_Lat3,OG_Orig3,OG_OOI_Ord3,OG_OOI_Lat3,OffWin3,ReadTime3,Task4,TaskType4,JS_Flu4,Flu4,Flex4,Orig4,OOI_Ord4,OOI_Lat4,OG_Orig4,OG_OOI_Ord4,OG_OOI_Lat4,OffWin4,ReadTime4,Task5,TaskType5,JS_Flu5,Flu5,Flex5,Orig5,OOI_Ord5,OOI_Lat5,OG_Orig5,OG_OOI_Ord5,OG_OOI_Lat5,OffWin5,ReadTime5,Task6,TaskType6,JS_Flu6,Flu6,Flex6,Orig6,OOI_Ord6,OOI_Lat6,OG_Orig6,OG_OOI_Ord6,OG_OOI_Lat6,OffWin6,ReadTime6,Task7,TaskType7,JS_Flu7,Flu7,Flex7,Orig7,OOI_Ord7,OOI_Lat7,OG_Orig7,OG_OOI_Ord7,OG_OOI_Lat7,OffWin7,ReadTime7,Task8,TaskType8,JS_Flu8,Flu8,Flex8,Orig8,OOI_Ord8,OOI_Lat8,OG_Orig8,OG_OOI_Ord8,OG_OOI_Lat8,OffWin8,ReadTime8,Task9,TaskType9,JS_Flu9,Flu9,Flex9,Orig9,OOI_Ord9,OOI_Lat9,OG_Orig9,OG_OOI_Ord9,OG_OOI_Lat9,OffWin9,ReadTime9,Flu_Total,Flex_Total,Orig_Total,OOI_Ord_Avg,OOI_Lat_Avg,OG_Orig_Total,OG_OOI_Ord_Avg,OG_OOI_Lat_Avg
20564348,4,2927,1,30,3,5, , , , , ,59,5,2,7,7,4,0,0, ,0,0, ,2,2472,4,2,4,4,3,2,3,8.343,1,3,8.343,0,1887,6,2,5,5,3,2,2,4.103,0,0, ,0,1362,2,2,1,1,1,0,0, ,0,0, ,0,1283,1,1,2,2,2,0,0, ,0,0, ,0,2966,3,1,3,3,3,1,3,9.669,1,3,9.669,0,962,8,3,0,4,3,2,1, ,2,1, ,0,20349,7,3,0,3,3,3,1, ,1,2, ,0,34228,9,3,0,4,4,3,2, ,1,2, ,0,58992,33,26,13,1.333,7.372,6,1.222,9.006
36875281,5,884,2,21,4,3,8,8,8,8,8,62,2,2,1,1,1,0,0, ,0,0, ,0,2033,3,1,4,4,2,4,1,10.572,2,3,21.313,0,12300,1,1,3,3,2,0,0, ,0,0, ,0,1547,6,2,4,4,2,2,3,7.507,1,4,14.02,0,4113,4,2,6,6,3,3,1,3.259,1,5,14.572,0,1191,5,2,9,9,4,0,0, ,0,0, ,0,1666,9,3,1,1,1,0,0, ,0,0, ,0,1523,7,3,2,2,1,1,1,3.115,0,0, ,0,1376,8,3,1,0,0,0,0, ,0,0, ,0,1529,30,16,10,.75,6.113,4,1.5,16.635
76165636,3,3103,1,39,3,6,12,8,6,6,12,46,1,1,4,4,3,3,1,15.979,0,0, ,0,5092,3,1,3,3,3,2,2,123.741,1,2,123.741,1,2595,2,2,4,4,3,3,1,15.979,3,1,15.979,0,5092,6,2,11,11,3,7,1,3.22,5,4,17.254,0,4729,4,2,4,4,1,4,1,7.691,2,3,40.995,0,1924,5,2,13,13,1,10,3,10.455,9,4,15.095,0,2994,7,3,3,3,2,2,1,4.258,2,1,4.258,0,1551,9,3,3,3,2,0,0, ,0,0, ,0,6538,8,3,2,2,2,0,0, ,0,0, ,0,1129,49,22,29,1.556,33.178,22,1.667,36.22
18336996,1,912,1,31,5,5,12,7,5, , ,59,2,2,6,6,1,5,1,11.313,2,1,30.131,0,2193,1,1,6,6,2,4,2,15.332,0,0, ,0,1193,3,1,3,3,2,1,3,59.969,1,3,59.969,0,1130,4,2,4,4,3,1,3,45.566,1,3,45.566,0,4224,5,2,9,9,4,2,4,24.728,1,8,77.809,0,1174,6,2,11,11,3,5,2,7.842,2,7,54.813,0,1611,8,3,4,4,3,2,1,12.054,1,3,95.528,0,8142,9,3,4,4,4,3,1,19.792,3,1,19.792,0,6738,7,3,6,6,1,6,1,8.423,6,1,8.423,2, ,53,23,29,2,22.78,17,3,49.004
49945991,8,1487,1,29,2,3,8,3,2,13,2,42,8,3,2,2,2,2,1,17.563,2,1,17.563,0,1928,7,3,3,3,3,3,1,4.643,1,3,32.399,0,2623,9,3,3,3,2,1,2,12.943,1,2,12.943,0,5850,5,2,6,6,4,1,6,21.855,0,0, ,0,5845,4,2,5,5,3,3,1,12.437,1,1,12.437,0,2118,6,2,4,4,3,4,1,4.014,3,2,6.431,0,2060,2,2,6,6,2,4,2,5.134,2,2,17.699,0,12719,1,1,3,3,3,3,1,3.928,1,3,13.375,0,1542,3,1,4,4,4,2,3,9.62,1,4,16.203,0,1598,36,26,23,2,10.237,12,2,16.131
79242083,1,2146,1,30,2,3,12,5,8,12,13,46,3,1,6,6,4,3,1,3.483,2,5,14.504,0,8485,2,2,8,8,4,7,2,10.894,6,2,10.894,0,2805,1,1,5,5,2,2,2,6.344,0,0, ,0,5288,6,2,4,4,2,2,2,6.848,0,0, ,0,8356,4,2,4,4,3,2,1,3.721,0,0, ,0,46508,5,2,5,5,3,1,4,13.808,0,0, ,0,3763,9,3,4,4,3,2,1,27.305,1,1,27.305,1,9973,8,3,3,3,1,2,2,36.125,1,3,41.981,1,27170,7,3,3,3,2,2,1,13.026,0,0, ,1,2629,42,24,23,1.778,13.506,10,1.222,23.671
91056650,8,2530,1,33,5,5,9,6,4,13,10,57,3,1,4,4,2,1,4,25.382,0,0, ,0,19235,1,1,4,4,2,2,2,6.351,0,0, ,0,20359,2,2,4,4,3,2,3,13.77,0,3, ,0,4286,9,3,5,5,1,5,1,4.464,5,1,4.464,0,25565,7,3,7,7,3,4,4,10.141,2,5,14.247,0,4808,8,3,5,5,2,3,3,13.181,3,3,13.181,0,9441,6,2,6,6,1,2,2,13.866,1,2,13.866,0,7996,4,2,5,5,3,3,1,6.001,2,2,9.623,0,4577,5,2,5,5,3,0,0, ,0,0, ,0,4670,45,20,22,2.222,11.645,13,1.778,11.076
62405238,2,3186,2,48,2,3,10,14,10,14,14,27,1,1,3,3,2,1,3,28.032,0,0, ,0,3599,3,1,2,2,1,2,1,6.87,1,2,15.103,0,9281,2,2,3,3,2,1,3,28.032,0,3, ,0,3599,4,2,4,4,2,3,2,15.462,1,2,15.462,0,11353,6,2,4,4,3,2,1,4.476,0,0, ,0,21150,5,2,6,6,4,0,0, ,0,0, ,0,5056,9,3,5,5,4,3,3,63.701,1,3,5.85,0,24347,7,3,5,5,2,4,1,2.539,3,3,11.15,0,7196,8,3,5,5,1,4,1,2.841,3,3,10.255,0,7083,35,20,20,1.444,16.434,9,1.778,11.564
81848285,7,1091,2,31,3,5,11,12,12,12,13,44,3,1,5,5,2,4,1,4.721,2,3,9.706,0,12843,1,1,4,4,3,3,2,24.897,1,3,34.19,0,7567,2,2,6,6,4,3,2,135.98,0,2, ,0,3957,6,2,11,11,6,7,1,2.614,4,1,2.614,1,10551,4,2,4,4,3,1,3,31.206,1,3,31.206,0,3561,5,2,9,9,3,0,0, ,0,0, ,0,2328,9,3,0,0,0,0,0, ,0,0, ,0, ,7,3,2,2,2,1,2,9.107,0,0, ,0,14995,8,3,2,2,1,1,2,7.931,0,0, ,0,10393,43,24,20,1.625,30.922,8,1.5,19.429
70706059,3,3906,1,49,4,4, ,14, ,14,14,43,2,2,1,3,2,3,1, ,2,1, ,0,2286,1,1,1,5,2,4,2, ,2,2, ,0,1844,3,1,1,2,2,1,1, ,1,1, ,0,2130,6,2,1,3,1,1,3, ,0,0, ,0, ,5,2,1,3,2,0,0, ,0,0, ,0,3411,4,2,1,2,1,2,1, ,1,1, ,0,5687,8,3,5,5,2,3,2,5.223,2,2,5.223,0,4134,9,3,3,3,2,2,2,16.158,1,2,26.178,0,10944,7,3,1,1,1,1,1,13.165,1,1,13.165,1,6698,27,15,17,1.444,11.515,10,1.111,14.855
