FamilyID,InstanceZ
11959,0.0.0.0.0.0
11959,
11959,
11959,
11959,
11959,0.0.0.0.0.1
11959,
11959,
11959,
11959,
11959,
11959,
11959,
11959,
11959,
11959,0.0.0.1.0.1
11959,
11959,
11959,
11959,0.0.0.1.1.1
11959,
11959,
11959,
11959,
11959,
11959,0.1.0.1.1.1
11959,
11959,
11959,
11959,
11959,
11959,
11959,1.1.0.1.1.1
11959,
11959,
11959,
11959,
11959,
11959,1.1.1.1.1.1
11959,
11959,
11959,1.1.1.2.1.1
11959,
11959,
11959,
11959,
11959,
11959,
11959,
11959,
11959,
11959,
11959,
11959,
11959,
11959,
11959,
11959,
11959,
11959,
11959,
11959,
11959,
11961,0.0.0.0.0.0
11961,
11961,
11961,
11961,
11961,
11961,
11961,0.0.0.0.0.1
11961,
11961,
11961,
11961,0.0.0.1.0.1
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,1.0.0.1.0.1
11961,
11961,
11961,
11961,1.0.0.1.1.1
11961,
11961,
11961,
11961,1.1.0.1.1.1
11961,
11961,
11961,
11961,1.1.1.1.1.1
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,1.1.1.1.2.1
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,1.1.1.2.2.1
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,1.2.1.2.2.1
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11961,
11962,0.0.0.0.0.0
11962,
11962,
11962,0.0.0.1.0.0
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,0.0.1.1.0.0
11962,
11962,
11962,
11962,0.0.1.1.0.1
11962,
11962,
11962,
11962,0.0.1.1.1.1
11962,
11962,
11962,0.1.1.1.1.1
11962,
11962,
11962,
11962,1.1.1.1.1.1
11962,
11962,
11962,2.1.1.1.1.1
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,2.1.1.1.2.1
11962,
11962,
11962,
11962,
11962,
11962,2.1.1.2.2.1
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,2.2.1.2.2.1
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,
11962,2.2.3.2.2.1
11962,
11962,
11962,
11962,
11962,
11963,0.0.0.0.0.0
11963,
11963,
11963,
11963,
11963,
11963,
11963,
11963,
11963,
11963,
11963,
11963,
11963,
11963,
11963,
11963,
11963,
11963,
11963,
11963,
11963,
11963,
11963,
11963,
11963,
11963,
11963,
11963,
11963,
11963,
11963,2.0.0.0.0.0
11963,
11963,
11963,
11963,2.0.0.1.0.0
11963,
11963,
11963,2.0.0.1.1.0
11963,
11963,
11963,
11963,2.0.0.1.1.1
11963,
11963,
11963,
11963,
11963,
11963,
11963,
11963,
11963,2.0.0.1.2.1
11963,
11963,
11963,
11963,
