"","frequency","count","mass","cum_mass","MAUI","UI","norm_rank","TypeItem","sample_size"
"878",53,1,53,385,0.199610244988864,0.894,0.0833333333333333,"F1",500
"879",45,1,45,430,0.226893095768374,0.91,0.116666666666667,"F1",500
"880",44,1,44,474,0.251670378619154,0.912,0.15,"F1",500
"881",41,1,41,515,0.275334075723831,0.918,0.183333333333333,"F1",500
"882",35,1,35,550,0.296492204899777,0.93,0.216666666666667,"F1",500
"883",32,1,32,582,0.315144766146993,0.936,0.25,"F1",500
"884",26,1,26,608,0.331291759465479,0.948,0.283333333333333,"F1",500
"885",24,1,24,632,0.345211581291759,0.952,0.316666666666667,"F1",500
"886",22,1,22,654,0.358017817371938,0.956,0.35,"F1",500
"887",21,1,21,675,0.369988864142539,0.958,0.383333333333333,"F1",500
"888",20,1,20,695,0.381403118040089,0.96,0.416666666666667,"F1",500
"889",18,2,36,731,0.396993318485523,0.964,0.45,"F1",500
"890",17,3,51,782,0.421213808463252,0.966,0.483333333333333,"F1",500
"891",16,1,16,798,0.439866369710468,0.968,0.516666666666667,"F1",500
"892",15,2,30,828,0.452672605790646,0.97,0.55,"F1",500
"893",14,1,14,842,0.464922048997773,0.972,0.583333333333333,"F1",500
"894",12,1,12,854,0.472160356347439,0.976,0.616666666666667,"F1",500
"895",11,1,11,865,0.478563474387528,0.978,0.65,"F1",500
"896",10,6,60,925,0.498329621380846,0.98,0.683333333333333,"F1",500
"897",9,6,54,979,0.530066815144766,0.982,0.716666666666667,"F1",500
"898",8,8,64,1043,0.562917594654788,0.984,0.75,"F1",500
"899",7,8,56,1099,0.596325167037862,0.986,0.783333333333333,"F1",500
"900",6,6,36,1135,0.621937639198218,0.988,0.816666666666667,"F1",500
"901",5,9,45,1180,0.644487750556793,0.99,0.85,"F1",500
"902",4,19,76,1256,0.678173719376392,0.992,0.883333333333333,"F1",500
"903",3,38,114,1370,0.731069042316258,0.994,0.916666666666667,"F1",500
"904",2,58,116,1486,0.795100222717149,0.996,0.95,"F1",500
"905",1,310,310,1796,0.91369710467706,0.998,0.983333333333333,"F1",500
"906",69,1,69,69,0.0189977973568282,0.862,0.0172413793103448,"F2",500
"907",64,1,64,133,0.0556167400881057,0.872,0.0517241379310345,"F2",500
"908",61,1,61,194,0.0900330396475771,0.878,0.0862068965517241,"F2",500
"909",50,1,50,244,0.120594713656388,0.9,0.120689655172414,"F2",500
"910",48,1,48,292,0.147577092511013,0.904,0.155172413793103,"F2",500
"911",45,1,45,337,0.17318281938326,0.91,0.189655172413793,"F2",500
"912",40,1,40,377,0.1965859030837,0.92,0.224137931034483,"F2",500
"913",38,2,76,453,0.22852422907489,0.924,0.258620689655172,"F2",500
"914",36,1,36,489,0.259361233480176,0.928,0.293103448275862,"F2",500
"915",34,1,34,523,0.27863436123348,0.932,0.327586206896552,"F2",500
"916",32,1,32,555,0.296806167400881,0.936,0.362068965517241,"F2",500
"917",28,1,28,583,0.313325991189427,0.944,0.396551724137931,"F2",500
"918",25,2,50,633,0.334801762114537,0.95,0.431034482758621,"F2",500
"919",24,1,24,657,0.355176211453745,0.952,0.46551724137931,"F2",500
"920",19,2,38,695,0.372246696035242,0.962,0.5,"F2",500
"921",15,6,90,785,0.407488986784141,0.97,0.53448275862069,"F2",500
"922",14,3,42,827,0.443832599118943,0.972,0.568965517241379,"F2",500
"923",13,1,13,840,0.45897577092511,0.974,0.603448275862069,"F2",500
"924",12,4,48,888,0.475770925110132,0.976,0.637931034482759,"F2",500
"925",10,4,40,928,0.5,0.98,0.672413793103448,"F2",500
"926",9,4,36,964,0.520925110132159,0.982,0.706896551724138,"F2",500
"927",8,8,64,1028,0.548458149779736,0.984,0.741379310344828,"F2",500
"928",7,5,35,1063,0.575715859030837,0.986,0.775862068965517,"F2",500
"929",6,3,18,1081,0.590308370044053,0.988,0.810344827586207,"F2",500
"930",5,8,40,1121,0.606277533039648,0.99,0.844827586206897,"F2",500
"931",4,9,36,1157,0.627202643171806,0.992,0.879310344827586,"F2",500
"932",3,26,78,1235,0.658590308370044,0.994,0.913793103448276,"F2",500
"933",2,72,144,1379,0.719713656387665,0.996,0.948275862068966,"F2",500
"934",1,437,437,1816,0.879680616740088,0.998,0.982758620689655,"F2",500
"935",104,1,104,104,0.0270410816432657,0.792,0.0172413793103448,"F3",500
"936",61,1,61,165,0.0699427977119085,0.878,0.0517241379310345,"F3",500
"937",60,1,60,225,0.101404056162246,0.88,0.0862068965517241,"F3",500
"938",53,1,53,278,0.130785231409256,0.894,0.120689655172414,"F3",500
"939",49,1,49,327,0.15730629225169,0.902,0.155172413793103,"F3",500
"940",47,1,47,374,0.182267290691628,0.906,0.189655172413793,"F3",500
"941",43,1,43,417,0.205668226729069,0.914,0.224137931034483,"F3",500
"942",42,1,42,459,0.227769110764431,0.916,0.258620689655172,"F3",500
"943",35,1,35,494,0.247789911596464,0.93,0.293103448275862,"F3",500
"944",33,1,33,527,0.265470618824753,0.934,0.327586206896552,"F3",500
"945",29,1,29,556,0.281591263650546,0.942,0.362068965517241,"F3",500
"946",26,2,52,608,0.302652106084243,0.948,0.396551724137931,"F3",500
"947",20,1,20,628,0.321372854914197,0.96,0.431034482758621,"F3",500
"948",19,1,19,647,0.331513260530421,0.962,0.46551724137931,"F3",500
"949",15,1,15,662,0.340353614144566,0.97,0.5,"F3",500
"950",14,1,14,676,0.34789391575663,0.972,0.53448275862069,"F3",500
"951",13,3,39,715,0.361674466978679,0.974,0.568965517241379,"F3",500
"952",12,2,24,739,0.378055122204888,0.976,0.603448275862069,"F3",500
"953",11,6,66,805,0.40145605824233,0.978,0.637931034482759,"F3",500
"954",10,1,10,815,0.421216848673947,0.98,0.672413793103448,"F3",500
"955",9,10,90,905,0.447217888715549,0.982,0.706896551724138,"F3",500
"956",8,5,40,945,0.481019240769631,0.984,0.741379310344828,"F3",500
"957",7,9,63,1008,0.507800312012481,0.986,0.775862068965517,"F3",500
"958",6,9,54,1062,0.538221528861154,0.988,0.810344827586207,"F3",500
"959",5,14,70,1132,0.57046281851274,0.99,0.844827586206897,"F3",500
"960",4,17,68,1200,0.606344253770151,0.992,0.879310344827586,"F3",500
"961",3,42,126,1326,0.656786271450858,0.994,0.913793103448276,"F3",500
"962",2,75,150,1476,0.728549141965679,0.996,0.948275862068966,"F3",500
"963",1,447,447,1923,0.883775351014041,0.998,0.982758620689655,"F3",500
"964",295,1,295,295,0.0463253768844221,0.41,0.0135135135135135,"I1",500
"965",137,1,137,432,0.114164572864322,0.726,0.0405405405405405,"I1",500
"966",133,1,133,565,0.156564070351759,0.734,0.0675675675675676,"I1",500
"967",121,1,121,686,0.196451005025126,0.758,0.0945945945945946,"I1",500
"968",94,1,94,780,0.230213567839196,0.812,0.121621621621622,"I1",500
"969",79,1,79,859,0.257380653266332,0.842,0.148648648648649,"I1",500
"970",57,2,114,973,0.287688442211055,0.886,0.175675675675676,"I1",500
"971",54,2,108,1081,0.322550251256281,0.892,0.202702702702703,"I1",500
"972",50,1,50,1131,0.347361809045226,0.9,0.22972972972973,"I1",500
"973",48,1,48,1179,0.362751256281407,0.904,0.256756756756757,"I1",500
"974",47,1,47,1226,0.37766959798995,0.906,0.283783783783784,"I1",500
"975",46,1,46,1272,0.392273869346734,0.908,0.310810810810811,"I1",500
"976",40,1,40,1312,0.405778894472362,0.92,0.337837837837838,"I1",500
"977",29,1,29,1341,0.41661432160804,0.942,0.364864864864865,"I1",500
"978",28,1,28,1369,0.425565326633166,0.944,0.391891891891892,"I1",500
"979",26,4,104,1473,0.446293969849246,0.948,0.418918918918919,"I1",500
"980",24,2,48,1521,0.470163316582915,0.952,0.445945945945946,"I1",500
"981",21,1,21,1542,0.480998743718593,0.958,0.472972972972973,"I1",500
"982",20,1,20,1562,0.487437185929648,0.96,0.5,"I1",500
"983",19,1,19,1581,0.493561557788945,0.962,0.527027027027027,"I1",500
"984",17,4,68,1649,0.507223618090452,0.966,0.554054054054054,"I1",500
"985",16,3,48,1697,0.525439698492462,0.968,0.581081081081081,"I1",500
"986",15,3,45,1742,0.540043969849246,0.97,0.608108108108108,"I1",500
"987",14,5,70,1812,0.558103015075377,0.972,0.635135135135135,"I1",500
"988",13,3,39,1851,0.575219849246231,0.974,0.662162162162162,"I1",500
"989",12,2,24,1875,0.585113065326633,0.976,0.689189189189189,"I1",500
"990",11,5,55,1930,0.597518844221106,0.978,0.716216216216216,"I1",500
"991",10,7,70,2000,0.61714824120603,0.98,0.743243243243243,"I1",500
"992",9,6,54,2054,0.636620603015075,0.982,0.77027027027027,"I1",500
"993",8,8,64,2118,0.655150753768844,0.984,0.797297297297297,"I1",500
"994",7,7,49,2167,0.672895728643216,0.986,0.824324324324324,"I1",500
"995",6,11,66,2233,0.690954773869347,0.988,0.851351351351351,"I1",500
"996",5,18,90,2323,0.715452261306533,0.99,0.878378378378378,"I1",500
"997",4,28,112,2435,0.747173366834171,0.992,0.905405405405405,"I1",500
"998",3,51,153,2588,0.788787688442211,0.994,0.932432432432432,"I1",500
"999",2,85,170,2758,0.839510050251256,0.996,0.959459459459459,"I1",500
"1000",1,426,426,3184,0.933103015075377,0.998,0.986486486486487,"I1",500
"1001",479,1,479,479,0.0560364997660271,0.042,0.0113636363636364,"I2",500
"1002",263,1,263,742,0.142840430510061,0.474,0.0340909090909091,"I2",500
"1003",243,1,243,985,0.202035563874591,0.514,0.0568181818181818,"I2",500
"1004",220,1,220,1205,0.256200280767431,0.56,0.0795454545454545,"I2",500
"1005",160,1,160,1365,0.300655124005615,0.68,0.102272727272727,"I2",500
"1006",156,1,156,1521,0.337622835751053,0.688,0.125,"I2",500
"1007",153,2,306,1827,0.391670566214319,0.694,0.147727272727273,"I2",500
"1008",133,1,133,1960,0.44302760879738,0.734,0.170454545454545,"I2",500
"1009",129,1,129,2089,0.473678053345812,0.742,0.193181818181818,"I2",500
"1010",122,2,244,2333,0.517313991576977,0.756,0.215909090909091,"I2",500
"1011",117,1,117,2450,0.559546092653252,0.766,0.238636363636364,"I2",500
"1012",91,1,91,2541,0.583879270004679,0.818,0.261363636363636,"I2",500
"1013",79,1,79,2620,0.603766963032288,0.842,0.284090909090909,"I2",500
"1014",78,1,78,2698,0.622133832475433,0.844,0.306818181818182,"I2",500
"1015",73,1,73,2771,0.639798783341132,0.854,0.329545454545455,"I2",500
"1016",65,1,65,2836,0.655942910622368,0.87,0.352272727272727,"I2",500
"1017",60,1,60,2896,0.670566214319139,0.88,0.375,"I2",500
"1018",58,1,58,2954,0.684370613008891,0.884,0.397727272727273,"I2",500
"1019",56,2,112,3066,0.7042583060365,0.888,0.420454545454545,"I2",500
"1020",54,2,108,3174,0.729995320542817,0.892,0.443181818181818,"I2",500
"1021",44,1,44,3218,0.747777257838091,0.912,0.465909090909091,"I2",500
"1022",36,2,72,3290,0.761347683668694,0.928,0.488636363636364,"I2",500
"1023",34,1,34,3324,0.773748245203556,0.932,0.511363636363636,"I2",500
"1024",27,1,27,3351,0.780884417407581,0.946,0.534090909090909,"I2",500
"1025",23,2,46,3397,0.789424426766495,0.954,0.556818181818182,"I2",500
"1026",22,2,44,3441,0.79995320542817,0.956,0.579545454545455,"I2",500
"1027",19,3,57,3498,0.811768834815161,0.962,0.602272727272727,"I2",500
"1028",18,4,72,3570,0.826860084230229,0.964,0.625,"I2",500
"1029",17,3,51,3621,0.841249415067852,0.966,0.647727272727273,"I2",500
"1030",16,2,32,3653,0.850959288722508,0.968,0.670454545454545,"I2",500
"1031",15,1,15,3668,0.856457650912494,0.97,0.693181818181818,"I2",500
"1032",14,1,14,3682,0.859850257370145,0.972,0.715909090909091,"I2",500
"1033",12,1,12,3694,0.862891904539073,0.976,0.738636363636364,"I2",500
"1034",11,3,33,3727,0.868156293869911,0.978,0.761363636363636,"I2",500
"1035",10,2,20,3747,0.874356574637342,0.98,0.784090909090909,"I2",500
"1036",9,2,18,3765,0.87880205896116,0.982,0.806818181818182,"I2",500
"1037",8,5,40,3805,0.885587271876462,0.984,0.829545454545455,"I2",500
"1038",7,1,7,3812,0.891085634066448,0.986,0.852272727272727,"I2",500
"1039",6,7,42,3854,0.896817969115583,0.988,0.875,"I2",500
"1040",5,4,20,3874,0.904071127749181,0.99,0.897727272727273,"I2",500
"1041",4,11,44,3918,0.911558259241928,0.992,0.920454545454545,"I2",500
"1042",3,25,75,3993,0.925479644361254,0.994,0.943181818181818,"I2",500
"1043",2,51,102,4095,0.946186242395882,0.996,0.965909090909091,"I2",500
"1044",1,179,179,4274,0.979059429106224,0.998,0.988636363636364,"I2",500
"1045",164,1,164,164,0.0243757431629013,0.672,0.0116279069767442,"I3",500
"1046",102,1,102,266,0.0639120095124851,0.796,0.0348837209302326,"I3",500
"1047",78,1,78,344,0.0906658739595719,0.844,0.0581395348837209,"I3",500
"1048",68,1,68,412,0.112366230677765,0.864,0.0813953488372093,"I3",500
"1049",67,1,67,479,0.13243162901308,0.866,0.104651162790698,"I3",500
"1050",65,1,65,544,0.15205112960761,0.87,0.127906976744186,"I3",500
"1051",64,1,64,608,0.171224732461356,0.872,0.151162790697674,"I3",500
"1052",63,1,63,671,0.190101070154578,0.874,0.174418604651163,"I3",500
"1053",56,1,56,727,0.207788347205707,0.888,0.197674418604651,"I3",500
"1054",44,2,88,815,0.229191438763377,0.912,0.22093023255814,"I3",500
"1055",42,1,42,857,0.248513674197384,0.916,0.244186046511628,"I3",500
"1056",41,2,82,939,0.266944114149822,0.918,0.267441860465116,"I3",500
"1057",40,2,80,1019,0.2910225921522,0.92,0.290697674418605,"I3",500
"1058",37,3,111,1130,0.319411414982164,0.926,0.313953488372093,"I3",500
"1059",34,1,34,1164,0.340963139120095,0.932,0.337209302325581,"I3",500
"1060",33,1,33,1197,0.350921521997622,0.934,0.36046511627907,"I3",500
"1061",31,2,62,1259,0.365041617122473,0.938,0.383720930232558,"I3",500
"1062",28,1,28,1287,0.378418549346017,0.944,0.406976744186047,"I3",500
"1063",26,3,78,1365,0.394173602853746,0.948,0.430232558139535,"I3",500
"1064",24,2,48,1413,0.412901307966706,0.952,0.453488372093023,"I3",500
"1065",23,1,23,1436,0.423454221165279,0.954,0.476744186046512,"I3",500
"1066",22,1,22,1458,0.430142687277051,0.956,0.5,"I3",500
"1067",21,1,21,1479,0.4365338882283,0.958,0.523255813953488,"I3",500
"1068",20,1,20,1499,0.442627824019025,0.96,0.546511627906977,"I3",500
"1069",19,2,38,1537,0.451248513674197,0.962,0.569767441860465,"I3",500
"1070",18,2,36,1573,0.462247324613555,0.964,0.593023255813954,"I3",500
"1071",17,4,68,1641,0.477705112960761,0.966,0.616279069767442,"I3",500
"1072",16,4,64,1705,0.497324613555291,0.968,0.63953488372093,"I3",500
"1073",15,3,45,1750,0.513525564803805,0.97,0.662790697674419,"I3",500
"1074",14,3,42,1792,0.526456599286564,0.972,0.686046511627907,"I3",500
"1075",13,6,78,1870,0.544292508917955,0.974,0.709302325581395,"I3",500
"1076",12,1,12,1882,0.557669441141498,0.976,0.732558139534884,"I3",500
"1077",11,4,44,1926,0.565992865636147,0.978,0.755813953488372,"I3",500
"1078",10,4,40,1966,0.578478002378121,0.98,0.779069767441861,"I3",500
"1079",9,7,63,2029,0.593787158145065,0.982,0.802325581395349,"I3",500
"1080",8,5,40,2069,0.609096313912009,0.984,0.825581395348837,"I3",500
"1081",7,9,63,2132,0.624405469678954,0.986,0.848837209302326,"I3",500
"1082",6,13,78,2210,0.645362663495838,0.988,0.872093023255814,"I3",500
"1083",5,22,110,2320,0.673305588585018,0.99,0.895348837209302,"I3",500
"1084",4,26,104,2424,0.705112960760999,0.992,0.918604651162791,"I3",500
"1085",3,38,114,2538,0.737514863258026,0.994,0.941860465116279,"I3",500
"1086",2,118,236,2774,0.789536266349584,0.996,0.965116279069767,"I3",500
"1087",1,590,590,3364,0.91230677764566,0.998,0.988372093023256,"I3",500
"1088",154,1,154,154,0.0395886889460154,0.692,0.0161290322580645,"U1",500
"1089",98,2,196,350,0.129562982005141,0.804,0.0483870967741935,"U1",500
"1090",76,1,76,426,0.199485861182519,0.848,0.0806451612903226,"U1",500
"1091",47,1,47,473,0.231105398457584,0.906,0.112903225806452,"U1",500
"1092",38,1,38,511,0.252956298200514,0.924,0.145161290322581,"U1",500
"1093",33,1,33,544,0.27120822622108,0.934,0.17741935483871,"U1",500
"1094",31,2,62,606,0.295629820051414,0.938,0.209677419354839,"U1",500
"1095",28,1,28,634,0.318766066838046,0.944,0.241935483870968,"U1",500
"1096",27,1,27,661,0.332904884318766,0.946,0.274193548387097,"U1",500
"1097",24,1,24,685,0.346015424164524,0.952,0.306451612903226,"U1",500
"1098",23,1,23,708,0.358097686375321,0.954,0.338709677419355,"U1",500
"1099",22,2,44,752,0.375321336760925,0.956,0.370967741935484,"U1",500
"1100",20,2,40,792,0.396915167095116,0.96,0.403225806451613,"U1",500
"1101",19,1,19,811,0.412082262210797,0.962,0.435483870967742,"U1",500
"1102",18,4,72,883,0.43547557840617,0.964,0.467741935483871,"U1",500
"1103",17,1,17,900,0.458354755784062,0.966,0.5,"U1",500
"1104",16,3,48,948,0.475064267352185,0.968,0.532258064516129,"U1",500
"1105",14,3,42,990,0.498200514138817,0.972,0.564516129032258,"U1",500
"1106",13,2,26,1016,0.515681233933162,0.974,0.596774193548387,"U1",500
"1107",12,6,72,1088,0.540874035989717,0.976,0.629032258064516,"U1",500
"1108",11,3,33,1121,0.567866323907455,0.978,0.661290322580645,"U1",500
"1109",10,4,40,1161,0.586632390745501,0.98,0.693548387096774,"U1",500
"1110",9,5,45,1206,0.608483290488432,0.982,0.725806451612903,"U1",500
"1111",8,4,32,1238,0.62827763496144,0.984,0.758064516129032,"U1",500
"1112",7,6,42,1280,0.647300771208226,0.986,0.790322580645161,"U1",500
"1113",6,8,48,1328,0.670437017994859,0.988,0.82258064516129,"U1",500
"1114",5,16,80,1408,0.703341902313625,0.99,0.854838709677419,"U1",500
"1115",4,23,92,1500,0.747557840616967,0.992,0.887096774193548,"U1",500
"1116",3,27,81,1581,0.792030848329049,0.994,0.919354838709677,"U1",500
"1117",2,45,90,1671,0.83598971722365,0.996,0.951612903225806,"U1",500
"1118",1,274,274,1945,0.929562982005141,0.998,0.983870967741935,"U1",500
"1119",139,1,139,139,0.0267307692307692,0.722,0.0142857142857143,"U2",500
"1120",82,1,82,221,0.0692307692307692,0.836,0.0428571428571429,"U2",500
"1121",51,1,51,272,0.0948076923076923,0.898,0.0714285714285714,"U2",500
"1122",45,2,90,362,0.121923076923077,0.91,0.1,"U2",500
"1123",43,1,43,405,0.1475,0.914,0.128571428571429,"U2",500
"1124",39,1,39,444,0.163269230769231,0.922,0.157142857142857,"U2",500
"1125",34,4,136,580,0.196923076923077,0.932,0.185714285714286,"U2",500
"1126",33,1,33,613,0.229423076923077,0.934,0.214285714285714,"U2",500
"1127",31,2,62,675,0.247692307692308,0.938,0.242857142857143,"U2",500
"1128",30,2,60,735,0.271153846153846,0.94,0.271428571428571,"U2",500
"1129",29,1,29,764,0.288269230769231,0.942,0.3,"U2",500
"1130",27,1,27,791,0.299038461538462,0.946,0.328571428571429,"U2",500
"1131",26,1,26,817,0.309230769230769,0.948,0.357142857142857,"U2",500
"1132",25,2,50,867,0.323846153846154,0.95,0.385714285714286,"U2",500
"1133",24,1,24,891,0.338076923076923,0.952,0.414285714285714,"U2",500
"1134",22,1,22,913,0.346923076923077,0.956,0.442857142857143,"U2",500
"1135",20,3,60,973,0.362692307692308,0.96,0.471428571428571,"U2",500
"1136",18,1,18,991,0.377692307692308,0.964,0.5,"U2",500
"1137",17,2,34,1025,0.387692307692308,0.966,0.528571428571429,"U2",500
"1138",16,2,32,1057,0.400384615384615,0.968,0.557142857142857,"U2",500
"1139",15,3,45,1102,0.415192307692308,0.97,0.585714285714286,"U2",500
"1140",14,2,28,1130,0.429230769230769,0.972,0.614285714285714,"U2",500
"1141",13,2,26,1156,0.439615384615385,0.974,0.642857142857143,"U2",500
"1142",12,1,12,1168,0.446923076923077,0.976,0.671428571428571,"U2",500
"1143",11,7,77,1245,0.464038461538462,0.978,0.7,"U2",500
"1144",10,10,100,1345,0.498076923076923,0.98,0.728571428571429,"U2",500
"1145",9,6,54,1399,0.527692307692308,0.982,0.757142857142857,"U2",500
"1146",8,11,88,1487,0.555,0.984,0.785714285714286,"U2",500
"1147",7,8,56,1543,0.582692307692308,0.986,0.814285714285714,"U2",500
"1148",6,8,48,1591,0.602692307692308,0.988,0.842857142857143,"U2",500
"1149",5,17,85,1676,0.628269230769231,0.99,0.871428571428571,"U2",500
"1150",4,28,112,1788,0.666153846153846,0.992,0.9,"U2",500
"1151",3,41,123,1911,0.711346153846154,0.994,0.928571428571429,"U2",500
"1152",2,102,204,2115,0.774230769230769,0.996,0.957142857142857,"U2",500
"1153",1,485,485,2600,0.906730769230769,0.998,0.985714285714286,"U2",500
"1154",162,1,162,162,0.0359520639147803,0.676,0.015625,"U3",500
"1155",138,1,138,300,0.102529960053262,0.724,0.046875,"U3",500
"1156",111,1,111,411,0.157789613848202,0.778,0.078125,"U3",500
"1157",106,1,106,517,0.205947625388371,0.788,0.109375,"U3",500
"1158",53,1,53,570,0.241233910341767,0.894,0.140625,"U3",500
"1159",50,1,50,620,0.264092321349312,0.9,0.171875,"U3",500
"1160",40,1,40,660,0.284065690190857,0.92,0.203125,"U3",500
"1161",35,1,35,695,0.300710164225477,0.93,0.234375,"U3",500
"1162",34,1,34,729,0.316023080337328,0.932,0.265625,"U3",500
"1163",30,2,60,789,0.336884154460719,0.94,0.296875,"U3",500
"1164",28,1,28,817,0.35641367066134,0.944,0.328125,"U3",500
"1165",26,1,26,843,0.368397691966267,0.948,0.359375,"U3",500
"1166",22,2,44,887,0.38393253439858,0.956,0.390625,"U3",500
"1167",21,1,21,908,0.398357745228584,0.958,0.421875,"U3",500
"1168",20,4,80,988,0.420772303595206,0.96,0.453125,"U3",500
"1169",18,2,36,1024,0.446515756768753,0.964,0.484375,"U3",500
"1170",17,5,85,1109,0.473368841544607,0.966,0.515625,"U3",500
"1171",16,1,16,1125,0.495783399911229,0.968,0.546875,"U3",500
"1172",15,1,15,1140,0.502663115845539,0.97,0.578125,"U3",500
"1173",14,1,14,1154,0.509098979138926,0.972,0.609375,"U3",500
"1174",13,4,52,1206,0.523746116289392,0.974,0.640625,"U3",500
"1175",12,3,36,1242,0.543275632490013,0.976,0.671875,"U3",500
"1176",11,3,33,1275,0.558588548601864,0.978,0.703125,"U3",500
"1177",10,4,40,1315,0.574789169995562,0.98,0.734375,"U3",500
"1178",8,7,56,1371,0.596094096759876,0.984,0.765625,"U3",500
"1179",7,3,21,1392,0.613182423435419,0.986,0.796875,"U3",500
"1180",6,11,66,1458,0.632490013315579,0.988,0.828125,"U3",500
"1181",5,13,65,1523,0.66156236129605,0.99,0.859375,"U3",500
"1182",4,27,108,1631,0.699955614735908,0.992,0.890625,"U3",500
"1183",3,37,111,1742,0.748557478917,0.994,0.921875,"U3",500
"1184",2,60,120,1862,0.799822458943631,0.996,0.953125,"U3",500
"1185",1,391,391,2253,0.913226808699512,0.998,0.984375,"U3",500
"1186",242,1,242,242,0.0570216776625825,0.596666666666667,0.0161290322580645,"F1",600
"1187",137,1,137,379,0.146324222431668,0.771666666666667,0.0483870967741935,"F1",600
"1188",60,1,60,439,0.192742695570217,0.9,0.0806451612903226,"F1",600
"1189",58,1,58,497,0.220546654099906,0.903333333333333,0.112903225806452,"F1",600
"1190",55,1,55,552,0.247172478793591,0.908333333333333,0.145161290322581,"F1",600
"1191",51,1,51,603,0.272148916116871,0.915,0.17741935483871,"F1",600
"1192",48,1,48,651,0.295475966069746,0.92,0.209677419354839,"F1",600
"1193",38,1,38,689,0.31573986804901,0.936666666666667,0.241935483870968,"F1",600
"1194",37,1,37,726,0.333411875589067,0.938333333333333,0.274193548387097,"F1",600
"1195",31,1,31,757,0.349434495758718,0.948333333333333,0.306451612903226,"F1",600
"1196",30,1,30,787,0.363807728557964,0.95,0.338709677419355,"F1",600
"1197",27,1,27,814,0.377238454288407,0.955,0.370967741935484,"F1",600
"1198",25,2,50,864,0.395381715362865,0.958333333333333,0.403225806451613,"F1",600
"1199",19,1,19,883,0.411639962299717,0.968333333333333,0.435483870967742,"F1",600
"1200",18,2,36,919,0.424599434495759,0.97,0.467741935483871,"F1",600
"1201",16,3,48,967,0.444392082940622,0.973333333333333,0.5,"F1",600
"1202",15,1,15,982,0.45923656927427,0.975,0.532258064516129,"F1",600
"1203",14,2,28,1010,0.469368520263902,0.976666666666667,0.564516129032258,"F1",600
"1204",13,4,52,1062,0.488218661639962,0.978333333333333,0.596774193548387,"F1",600
"1205",12,4,48,1110,0.511781338360038,0.98,0.629032258064516,"F1",600
"1206",11,2,22,1132,0.52827521206409,0.981666666666667,0.661290322580645,"F1",600
"1207",10,4,40,1172,0.542884071630537,0.983333333333333,0.693548387096774,"F1",600
"1208",9,3,27,1199,0.558671065032988,0.985,0.725806451612903,"F1",600
"1209",8,8,64,1263,0.580113100848256,0.986666666666667,0.758064516129032,"F1",600
"1210",7,7,49,1312,0.606738925541942,0.988333333333333,0.790322580645161,"F1",600
"1211",6,5,30,1342,0.625353440150801,0.99,0.82258064516129,"F1",600
"1212",5,13,65,1407,0.647737983034873,0.991666666666667,0.854838709677419,"F1",600
"1213",4,24,96,1503,0.685673892554194,0.993333333333333,0.887096774193548,"F1",600
"1214",3,37,111,1614,0.73444863336475,0.995,0.919354838709677,"F1",600
"1215",2,64,128,1742,0.79076343072573,0.996666666666667,0.951612903225806,"F1",600
"1216",1,380,380,2122,0.910461828463713,0.998333333333333,0.983870967741935,"F1",600
"1217",87,1,87,87,0.0209942084942085,0.855,0.0147058823529412,"F2",600
"1218",75,1,75,162,0.0600868725868726,0.875,0.0441176470588235,"F2",600
"1219",67,1,67,229,0.0943532818532819,0.888333333333333,0.0735294117647059,"F2",600
"1220",60,1,60,289,0.125,0.9,0.102941176470588,"F2",600
"1221",55,1,55,344,0.152750965250965,0.908333333333333,0.132352941176471,"F2",600
"1222",52,1,52,396,0.178571428571429,0.913333333333333,0.161764705882353,"F2",600
"1223",47,2,94,490,0.213803088803089,0.921666666666667,0.191176470588235,"F2",600
"1224",43,1,43,533,0.246862934362934,0.928333333333333,0.220588235294118,"F2",600
"1225",41,1,41,574,0.267133204633205,0.931666666666667,0.25,"F2",600
"1226",40,1,40,614,0.286679536679537,0.933333333333333,0.279411764705882,"F2",600
"1227",39,1,39,653,0.305743243243243,0.935,0.308823529411765,"F2",600
"1228",37,1,37,690,0.324083011583012,0.938333333333333,0.338235294117647,"F2",600
"1229",34,1,34,724,0.341216216216216,0.943333333333333,0.367647058823529,"F2",600
"1230",31,1,31,755,0.356901544401544,0.948333333333333,0.397058823529412,"F2",600
"1231",28,1,28,783,0.371138996138996,0.953333333333333,0.426470588235294,"F2",600
"1232",23,1,23,806,0.383445945945946,0.961666666666667,0.455882352941176,"F2",600
"1233",19,1,19,825,0.393581081081081,0.968333333333333,0.485294117647059,"F2",600
"1234",18,2,36,861,0.406853281853282,0.97,0.514705882352941,"F2",600
"1235",17,2,34,895,0.423745173745174,0.971666666666667,0.544117647058823,"F2",600
"1236",16,1,16,911,0.435810810810811,0.973333333333333,0.573529411764706,"F2",600
"1237",15,1,15,926,0.443291505791506,0.975,0.602941176470588,"F2",600
"1238",13,4,52,978,0.459459459459459,0.978333333333333,0.632352941176471,"F2",600
"1239",12,5,60,1038,0.486486486486487,0.98,0.661764705882353,"F2",600
"1240",11,5,55,1093,0.514237451737452,0.981666666666667,0.691176470588235,"F2",600
"1241",10,3,30,1123,0.534749034749035,0.983333333333333,0.720588235294118,"F2",600
"1242",9,4,36,1159,0.550675675675676,0.985,0.75,"F2",600
