"","frequency","count","mass","cum_mass","MAUI","UI","norm_rank","TypeItem","sample_size"
"313",8,5,40,394,0.36702649656526,0.96,0.605263157894737,"U2",200
"314",7,5,35,429,0.403827281648675,0.965,0.657894736842105,"U2",200
"315",6,8,48,477,0.444553483807655,0.97,0.710526315789474,"U2",200
"316",5,9,45,522,0.490186457311089,0.975,0.763157894736842,"U2",200
"317",4,14,56,578,0.539744847890088,0.98,0.815789473684211,"U2",200
"318",3,20,60,638,0.59666339548577,0.985,0.868421052631579,"U2",200
"319",2,44,88,726,0.66928361138371,0.99,0.921052631578947,"U2",200
"320",1,293,293,1019,0.856231599607458,0.995,0.973684210526316,"U2",200
"321",69,1,69,69,0.0393835616438356,0.655,0.0294117647058824,"U3",200
"322",57,1,57,126,0.111301369863014,0.715,0.0882352941176471,"U3",200
"323",39,1,39,165,0.166095890410959,0.805,0.147058823529412,"U3",200
"324",32,1,32,197,0.20662100456621,0.84,0.205882352941176,"U3",200
"325",21,1,21,218,0.236872146118721,0.895,0.264705882352941,"U3",200
"326",20,1,20,238,0.26027397260274,0.9,0.323529411764706,"U3",200
"327",13,6,78,316,0.3162100456621,0.935,0.382352941176471,"U3",200
"328",12,1,12,328,0.367579908675799,0.94,0.441176470588235,"U3",200
"329",10,1,10,338,0.38013698630137,0.95,0.5,"U3",200
"330",8,3,24,362,0.399543378995434,0.96,0.558823529411765,"U3",200
"331",7,4,28,390,0.429223744292237,0.965,0.617647058823529,"U3",200
"332",6,5,30,420,0.462328767123288,0.97,0.676470588235294,"U3",200
"333",5,10,50,470,0.507990867579909,0.975,0.735294117647059,"U3",200
"334",4,8,32,502,0.554794520547945,0.98,0.794117647058823,"U3",200
"335",3,23,69,571,0.612442922374429,0.985,0.852941176470588,"U3",200
"336",2,42,84,655,0.699771689497717,0.99,0.911764705882353,"U3",200
"337",1,221,221,876,0.873858447488584,0.995,0.970588235294118,"U3",200
"338",130,1,130,130,0.0593065693430657,0.566666666666667,0.0227272727272727,"F1",300
"339",72,1,72,202,0.151459854014599,0.76,0.0681818181818182,"F1",300
"340",31,1,31,233,0.198448905109489,0.896666666666667,0.113636363636364,"F1",300
"341",28,1,28,261,0.22536496350365,0.906666666666667,0.159090909090909,"F1",300
"342",26,1,26,287,0.25,0.913333333333333,0.204545454545455,"F1",300
"343",24,1,24,311,0.272810218978102,0.92,0.25,"F1",300
"344",23,1,23,334,0.294251824817518,0.923333333333333,0.295454545454545,"F1",300
"345",22,1,22,356,0.31478102189781,0.926666666666667,0.340909090909091,"F1",300
"346",16,2,32,388,0.339416058394161,0.946666666666667,0.386363636363636,"F1",300
"347",14,4,56,444,0.37956204379562,0.953333333333333,0.431818181818182,"F1",300
"348",12,1,12,456,0.410583941605839,0.96,0.477272727272727,"F1",300
"349",11,1,11,467,0.421076642335766,0.963333333333333,0.522727272727273,"F1",300
"350",10,3,30,497,0.43978102189781,0.966666666666667,0.568181818181818,"F1",300
"351",9,3,27,524,0.465784671532847,0.97,0.613636363636364,"F1",300
"352",8,3,24,548,0.489051094890511,0.973333333333333,0.659090909090909,"F1",300
"353",7,5,35,583,0.515967153284672,0.976666666666667,0.704545454545455,"F1",300
"354",6,6,36,619,0.548357664233577,0.98,0.75,"F1",300
"355",5,4,20,639,0.573905109489051,0.983333333333333,0.795454545454545,"F1",300
"356",4,15,60,699,0.610401459854015,0.986666666666667,0.840909090909091,"F1",300
"357",3,20,60,759,0.66514598540146,0.99,0.886363636363636,"F1",300
"358",2,42,84,843,0.730839416058394,0.993333333333333,0.931818181818182,"F1",300
"359",1,253,253,1096,0.884580291970803,0.996666666666667,0.977272727272727,"F1",300
"360",42,1,42,42,0.0194986072423398,0.86,0.0185185185185185,"F2",300
"361",40,1,40,82,0.0575673166202414,0.866666666666667,0.0555555555555556,"F2",300
"362",39,1,39,121,0.0942432683379759,0.87,0.0925925925925926,"F2",300
"363",33,1,33,154,0.127669452181987,0.89,0.12962962962963,"F2",300
"364",29,1,29,183,0.156453110492108,0.903333333333333,0.166666666666667,"F2",300
"365",28,1,28,211,0.182915506035283,0.906666666666667,0.203703703703704,"F2",300
"366",23,2,46,257,0.217270194986072,0.923333333333333,0.240740740740741,"F2",300
"367",22,1,22,279,0.248839368616527,0.926666666666667,0.277777777777778,"F2",300
"368",21,1,21,300,0.268802228412256,0.93,0.314814814814815,"F2",300
"369",20,1,20,320,0.287836583101207,0.933333333333333,0.351851851851852,"F2",300
