item,partID,flexibility,fluency,sum_MAUI,avg_MAUI,sum_UI95,avg_UI95,sum_UI99,avg_UI99
U1,10092748,5,11,6.380359056806002,0.5800326415278184,9,0.8181818181818182,3,0.2727272727272727
U1,10181341,2,2,0.45538585209003213,0.22769292604501606,1,0.5,0,0
U1,10291599,3,5,2.842845659163987,0.5685691318327974,5,1,1,0.2
U1,10452422,4,9,5.985262593783494,0.6650291770870549,7,0.7777777777777778,4,0.4444444444444444
U1,10463558,4,7,4.403670953912111,0.629095850558873,6,0.8571428571428571,3,0.42857142857142855
U1,10669095,2,3,1.790058949624866,0.596686316541622,2,0.6666666666666666,1,0.3333333333333333
U1,10670862,1,1,0.9490889603429796,0.9490889603429796,1,1,1,1
U1,10796470,2,4,2.567926045016077,0.6419815112540193,3,0.75,3,0.75
U1,10856261,6,8,5.144426580921758,0.6430533226152197,8,1,4,0.5
U1,10904270,2,3,1.784699892818864,0.5948999642729547,2,0.6666666666666666,2,0.6666666666666666
U1,10966863,3,3,0.7534833869239014,0.2511611289746338,1,0.3333333333333333,0,0
U1,10998955,3,7,3.6966773847802785,0.5280967692543255,5,0.7142857142857143,1,0.14285714285714285
U1,11010546,3,8,4.960878885316184,0.620109860664523,7,0.875,4,0.5
U1,11051268,1,1,0.9490889603429796,0.9490889603429796,1,1,1,1
U1,11331872,2,6,3.1339764201500535,0.5223294033583422,4,0.6666666666666666,3,0.5
U1,11372951,2,5,1.8508842443729903,0.37017684887459806,3,0.6,1,0.2
U1,11390689,4,4,2.644962486602358,0.6612406216505895,4,1,1,0.25
U1,11545207,2,3,0.9252411575562701,0.3084137191854234,1,0.3333333333333333,0,0
U1,11609688,2,2,1.0158092175777063,0.5079046087888531,2,1,0,0
U1,11631264,1,2,0.9557877813504823,0.47789389067524113,1,0.5,0,0
U1,11659791,2,3,0.9193461950696677,0.30644873168988923,1,0.3333333333333333,1,0.3333333333333333
U1,11708310,3,4,1.6207127545551983,0.40517818863879956,3,0.75,0,0
U1,11717897,3,6,2.930332261521972,0.488388710253662,4,0.6666666666666666,2,0.3333333333333333
U1,11925747,3,4,1.6615755627009645,0.41539389067524113,2,0.5,1,0.25
U1,12111018,1,1,0.844855305466238,0.844855305466238,1,1,1,1
U1,12138126,4,5,2.327572347266881,0.4655144694533762,3,0.6,1,0.2
U1,12157740,3,3,0.7658092175777064,0.2552697391925688,1,0.3333333333333333,0,0
U1,12211745,2,5,2.415192926045016,0.4830385852090032,3,0.6,2,0.4
U1,12397215,5,11,5.082127545551983,0.46201159505018025,9,0.8181818181818182,1,0.09090909090909091
U1,12398025,1,2,1.0719453376205788,0.5359726688102894,1,0.5,1,0.5
U1,12418187,2,2,0.9047427652733119,0.45237138263665594,2,1,0,0
U1,12428410,4,5,1.8897374062165058,0.37794748124330113,3,0.6,0,0
U1,12483965,3,3,1.510316184351554,0.5034387281171847,2,0.6666666666666666,1,0.3333333333333333
U1,12645200,2,4,3.383172561629153,0.8457931404072883,4,1,4,1
U1,12876259,2,2,0.14308681672025725,0.07154340836012862,0,0,0,0
