"","partID","sum_MAUI","avg_MAUI","sum_UI95","avg_UI95","TypeItem","top5_MAUI","sample_size"
"1",10669095,2.1593137254902,0.539828431372549,3,0.75,"F1",2.1593137254902,100
"2",10998955,2.53186274509804,0.421977124183007,3,0.5,"F1",2.46936274509804,100
"3",11708310,1.38848039215686,0.462826797385621,1,0.333333333333333,"F1",1.38848039215686,100
"4",12138126,2.88970588235294,0.577941176470588,3,0.6,"F1",2.88970588235294,100
"5",12942582,1.19240196078431,0.397467320261438,2,0.666666666666667,"F1",1.19240196078431,100
"6",13835981,3.42892156862745,0.68578431372549,5,1,"F1",3.42892156862745,100
"7",14847519,0.530637254901961,0.530637254901961,1,1,"F1",0.530637254901961,100
"8",15331938,2.23039215686275,0.557598039215686,2,0.5,"F1",2.23039215686275,100
"9",15979710,0.689950980392157,0.344975490196078,1,0.5,"F1",0.689950980392157,100
"10",16283242,1.87867647058824,0.375735294117647,2,0.4,"F1",1.87867647058824,100
"11",16509909,5.47058823529412,0.547058823529412,6,0.6,"F1",3.89828431372549,100
"12",16824735,3.02083333333333,0.604166666666667,4,0.8,"F1",3.02083333333333,100
"13",17237155,0.841911764705882,0.841911764705882,1,1,"F1",0.841911764705882,100
"14",17406806,0.406862745098039,0.20343137254902,0,0,"F1",0.406862745098039,100
"15",20831489,1.4031862745098,0.350796568627451,1,0.25,"F1",1.4031862745098,100
"16",21792846,0.627450980392157,0.627450980392157,1,1,"F1",0.627450980392157,100
"17",22272054,1.375,0.458333333333333,2,0.666666666666667,"F1",1.375,100
"18",22292741,0.904411764705882,0.452205882352941,1,0.5,"F1",0.904411764705882,100
"19",23480181,3.09803921568627,0.442577030812325,3,0.428571428571429,"F1",2.88112745098039,100
"20",24211189,4.27696078431373,0.534620098039216,5,0.625,"F1",3.62377450980392,100
"21",24724915,1.4828431372549,0.370710784313726,1,0.25,"F1",1.4828431372549,100
"22",24802850,4.21691176470588,0.602415966386555,6,0.857142857142857,"F1",3.68382352941176,100
"23",25044406,1.02941176470588,0.343137254901961,1,0.333333333333333,"F1",1.02941176470588,100
"24",32262733,2.93259803921569,0.586519607843137,3,0.6,"F1",2.93259803921569,100
"25",32716418,0.704656862745098,0.176164215686275,0,0,"F1",0.704656862745098,100
"26",33737973,0.0625,0.0625,0,0,"F1",0.0625,100
"27",33876433,7.23529411764706,0.657754010695187,10,0.909090909090909,"F1",4.20955882352941,100
"28",34007163,0.627450980392157,0.627450980392157,1,1,"F1",0.627450980392157,100
"29",35874066,0.344362745098039,0.344362745098039,0,0,"F1",0.344362745098039,100
"30",36268477,0.747549019607843,0.249183006535948,1,0.333333333333333,"F1",0.747549019607843,100
"31",37572245,1.27941176470588,0.319852941176471,1,0.25,"F1",1.27941176470588,100
"32",38905481,1.7328431372549,0.433210784313726,1,0.25,"F1",1.7328431372549,100
"33",39495925,3.69607843137255,0.616013071895425,5,0.833333333333333,"F1",3.35171568627451,100
"34",40435244,1.6875,0.5625,3,1,"F1",1.6875,100
"35",40542519,1.0906862745098,0.545343137254902,1,0.5,"F1",1.0906862745098,100
"36",40694233,7.22916666666667,0.722916666666667,10,1,"F1",4.20955882352941,100
"37",41654252,0.465686274509804,0.155228758169935,0,0,"F1",0.465686274509804,100
"38",41899734,1.42892156862745,0.476307189542484,2,0.666666666666667,"F1",1.42892156862745,100
"39",41977405,5.91421568627451,0.739276960784314,7,0.875,"F1",4.20955882352941,100
"40",42072154,1.88235294117647,0.627450980392157,3,1,"F1",1.88235294117647,100
"41",46404173,3.36764705882353,0.841911764705882,4,1,"F1",3.36764705882353,100
"42",46809593,0.825980392156863,0.412990196078431,1,0.5,"F1",0.825980392156863,100
"43",47224003,3.12990196078431,0.447128851540616,4,0.571428571428571,"F1",2.77696078431373,100
"44",48161169,2.90808823529412,0.415441176470588,4,0.571428571428571,"F1",2.62009803921569,100
"45",49420792,1.36642156862745,0.341605392156863,1,0.25,"F1",1.36642156862745,100
"46",50802090,3.74387254901961,0.53483893557423,4,0.571428571428571,"F1",3.3406862745098,100
"47",51720442,0.0625,0.0625,0,0,"F1",0.0625,100
"48",51772879,0.311274509803922,0.155637254901961,0,0,"F1",0.311274509803922,100
"49",52205728,0.593137254901961,0.29656862745098,1,0.5,"F1",0.593137254901961,100
"50",52549848,0.344362745098039,0.344362745098039,0,0,"F1",0.344362745098039,100
"51",53562916,2.21446078431373,0.738153594771242,3,1,"F1",2.21446078431373,100
"52",54226940,0.0625,0.0625,0,0,"F1",0.0625,100
"53",54294384,1.66176470588235,0.553921568627451,2,0.666666666666667,"F1",1.66176470588235,100
"54",54466243,1.88235294117647,0.627450980392157,2,0.666666666666667,"F1",1.88235294117647,100
"55",56213356,2.32475490196078,0.387459150326797,2,0.333333333333333,"F1",2.26225490196078,100
"56",56383965,1.31740196078431,0.439133986928105,2,0.666666666666667,"F1",1.31740196078431,100
"57",56617316,7.125,0.59375,9,0.75,"F1",4.20955882352941,100
"58",56910558,1.375,0.458333333333333,2,0.666666666666667,"F1",1.375,100
"59",57529182,1.62622549019608,0.542075163398693,1,0.333333333333333,"F1",1.62622549019608,100
"60",58246346,0.225490196078431,0.225490196078431,0,0,"F1",0.225490196078431,100
"61",59816210,0.781862745098039,0.39093137254902,1,0.5,"F1",0.781862745098039,100
"62",61721730,3.28553921568627,0.657107843137255,4,0.8,"F1",3.28553921568627,100
"63",62729619,2.71200980392157,0.387429971988796,3,0.428571428571429,"F1",2.49509803921569,100
"64",62756306,3.05637254901961,0.764093137254902,4,1,"F1",3.05637254901961,100
