count,cumsum,mass,MAUI,pct_giving,TypeItem,sample_size
2,341,48,0.7123595505617978,0.02,U1,100
1,445,104,0.8831460674157303,0.01,U1,100
40,40,40,0.03571428571428571,0.4,U2,100
19,59,19,0.08839285714285715,0.19,U2,100
13,72,13,0.11696428571428572,0.13,U2,100
12,84,12,0.1392857142857143,0.12,U2,100
11,106,22,0.16964285714285715,0.11,U2,100
10,116,10,0.1982142857142857,0.1,U2,100
8,156,40,0.24285714285714285,0.08,U2,100
7,184,28,0.30357142857142855,0.07,U2,100
6,208,24,0.35,0.06,U2,100
5,233,25,0.39375,0.05,U2,100
4,281,48,0.4589285714285714,0.04,U2,100
3,323,42,0.5392857142857143,0.03,U2,100
2,387,64,0.6339285714285714,0.02,U2,100
1,560,173,0.8455357142857143,0.01,U2,100
37,37,37,0.03722334004024145,0.37,U3,100
30,67,30,0.10462776659959759,0.3,U3,100
24,91,24,0.158953722334004,0.24,U3,100
17,108,17,0.20020120724346077,0.17,U3,100
12,120,12,0.22937625754527163,0.12,U3,100
11,131,11,0.25251509054325955,0.11,U3,100
9,140,9,0.272635814889336,0.09,U3,100
8,148,8,0.289738430583501,0.08,U3,100
7,183,35,0.3329979879275654,0.07,U3,100
6,195,12,0.38028169014084506,0.06,U3,100
5,220,25,0.41750503018108653,0.05,U3,100
4,236,16,0.45875251509054327,0.04,U3,100
3,281,45,0.5201207243460765,0.03,U3,100
2,341,60,0.6257545271629779,0.02,U3,100
1,497,156,0.8430583501006036,0.01,U3,100
91,91,91,0.06058588548601864,0.455,F1,200
49,140,49,0.15379494007989347,0.245,F1,200
20,160,20,0.19973368841544606,0.1,F1,200
19,179,19,0.22569906790945407,0.095,F1,200
18,215,36,0.2623169107856192,0.09,F1,200
15,230,15,0.296271637816245,0.075,F1,200
12,254,24,0.322237017310253,0.06,F1,200
11,276,22,0.35286284953395475,0.055,F1,200
9,285,9,0.37350199733688416,0.045,F1,200
8,309,24,0.3954727030625832,0.04,F1,200
7,337,28,0.43009320905459386,0.035,F1,200
6,367,30,0.46870838881491345,0.03,F1,200
5,382,15,0.4986684420772304,0.025,F1,200
4,422,40,0.5352862849533955,0.02,F1,200
3,470,48,0.5938748335552596,0.015,F1,200
2,550,80,0.6790945406125166,0.01,F1,200
1,751,201,0.8661784287616512,0.005,F1,200
28,28,28,0.018842530282637954,0.14,F2,200
27,55,27,0.05585464333781965,0.135,F2,200
23,78,23,0.08950201884253028,0.115,F2,200
22,100,22,0.11978465679676985,0.11,F2,200
20,120,20,0.1480484522207268,0.1,F2,200
18,156,36,0.1857335127860027,0.09,F2,200
17,173,17,0.22139973082099595,0.085,F2,200
15,233,60,0.2732166890982503,0.075,F2,200
13,246,13,0.3223418573351279,0.065,F2,200
12,270,24,0.3472409152086137,0.06,F2,200
11,292,22,0.3781965006729475,0.055,F2,200
9,301,9,0.3990578734858681,0.045,F2,200
8,317,16,0.4158815612382234,0.04,F2,200
7,331,14,0.4360699865410498,0.035,F2,200
6,349,18,0.4576043068640646,0.03,F2,200
5,389,40,0.49663526244952894,0.025,F2,200
4,433,44,0.5531628532974427,0.02,F2,200
3,460,27,0.6009421265141319,0.015,F2,200
2,518,58,0.65814266487214,0.01,F2,200
1,743,225,0.8485868102288021,0.005,F2,200
38,38,38,0.02445302445302445,0.19,F3,200
28,66,28,0.06692406692406692,0.14,F3,200
27,93,27,0.10231660231660232,0.135,F3,200
24,141,48,0.15057915057915058,0.12,F3,200
23,164,23,0.19626769626769627,0.115,F3,200
22,186,22,0.22522522522522523,0.11,F3,200
18,204,18,0.25096525096525096,0.09,F3,200
16,220,16,0.2728442728442728,0.08,F3,200
14,234,14,0.29214929214929214,0.07,F3,200
13,260,26,0.3178893178893179,0.065,F3,200
12,272,12,0.34234234234234234,0.06,F3,200
11,283,11,0.35714285714285715,0.055,F3,200
10,293,10,0.37065637065637064,0.05,F3,200
7,307,14,0.3861003861003861,0.035,F3,200
6,319,12,0.40283140283140284,0.03,F3,200
5,364,45,0.4395109395109395,0.025,F3,200
4,404,40,0.4942084942084942,0.02,F3,200
3,479,75,0.5682110682110683,0.015,F3,200
2,555,76,0.6653796653796654,0.01,F3,200
1,777,222,0.8571428571428571,0.005,F3,200
124,124,124,0.04936305732484077,0.62,I1,200
49,173,49,0.11823248407643312,0.245,I1,200
48,221,48,0.15684713375796178,0.24,I1,200
46,267,46,0.1942675159235669,0.23,I1,200
36,303,36,0.2269108280254777,0.18,I1,200
26,355,52,0.2619426751592357,0.13,I1,200
25,380,25,0.29259554140127386,0.125,I1,200
22,424,44,0.3200636942675159,0.11,I1,200
20,464,40,0.3535031847133758,0.1,I1,200
15,479,15,0.37539808917197454,0.075,I1,200
14,493,14,0.3869426751592357,0.07,I1,200
13,519,26,0.4028662420382166,0.065,I1,200
12,543,24,0.42277070063694266,0.06,I1,200
11,554,11,0.43670382165605093,0.055,I1,200
10,584,30,0.45302547770700635,0.05,I1,200
9,602,18,0.4721337579617834,0.045,I1,200
8,642,40,0.49522292993630573,0.04,I1,200
7,684,42,0.5278662420382165,0.035,I1,200
6,720,36,0.5589171974522293,0.03,I1,200
5,760,40,0.589171974522293,0.025,I1,200
4,800,40,0.6210191082802548,0.02,I1,200
3,878,78,0.6679936305732485,0.015,I1,200
2,1002,124,0.7484076433121019,0.01,I1,200
1,1256,254,0.8988853503184714,0.005,I1,200
194,194,194,0.05539691604797259,0.97,I2,200
113,307,113,0.14306110793832097,0.565,I2,200
105,412,105,0.2053112507138778,0.525,I2,200
98,510,98,0.2632781267846945,0.49,I2,200
65,640,130,0.32838378069674473,0.325,I2,200
63,703,63,0.38349514563106796,0.315,I2,200
61,825,122,0.43632210165619645,0.305,I2,200
57,882,57,0.4874357509994289,0.285,I2,200
47,976,94,0.5305539691604797,0.235,I2,200
44,1020,44,0.5699600228440891,0.22,I2,200
38,1058,38,0.5933752141633353,0.19,I2,200
31,1089,31,0.61307824100514,0.155,I2,200
30,1119,30,0.6304968589377499,0.15,I2,200
28,1203,84,0.663049685893775,0.14,I2,200
27,1230,27,0.694745859508852,0.135,I2,200
26,1256,26,0.7098800685322673,0.13,I2,200
21,1277,21,0.7233009708737864,0.105,I2,200
18,1349,72,0.7498572244431754,0.09,I2,200
17,1383,34,0.7801256424900057,0.085,I2,200
12,1395,12,0.7932609937178755,0.06,I2,200
10,1405,10,0.799543118218161,0.05,I2,200
9,1432,27,0.8101085094231868,0.045,I2,200
8,1472,40,0.8292404340376928,0.04,I2,200
7,1507,35,0.8506567675613935,0.035,I2,200
6,1513,6,0.8623643632210166,0.03,I2,200
5,1543,30,0.8726442033123929,0.025,I2,200
4,1555,12,0.8846373500856654,0.02,I2,200
3,1597,42,0.9000571102227298,0.015,I2,200
2,1627,30,0.9206167904054826,0.01,I2,200
1,1751,124,0.9645916619074815,0.005,I2,200
55,55,55,0.019586894586894586,0.275,I3,200
34,123,68,0.0633903133903134,0.17,I3,200
30,183,60,0.10897435897435898,0.15,I3,200
27,210,27,0.13995726495726496,0.135,I3,200
24,258,48,0.16666666666666666,0.12,I3,200
23,304,46,0.20014245014245013,0.115,I3,200
21,325,21,0.224002849002849,0.105,I3,200
20,345,20,0.2386039886039886,0.1,I3,200
19,364,19,0.25249287749287747,0.095,I3,200
18,418,54,0.27849002849002846,0.09,I3,200
16,450,32,0.3091168091168091,0.08,I3,200
15,465,15,0.32585470085470086,0.075,I3,200
13,504,39,0.3450854700854701,0.065,I3,200
12,540,36,0.3717948717948718,0.06,I3,200
11,573,33,0.39636752136752135,0.055,I3,200
10,603,30,0.4188034188034188,0.05,I3,200
9,648,45,0.44551282051282054,0.045,I3,200
8,680,32,0.47293447293447294,0.04,I3,200
7,729,49,0.5017806267806267,0.035,I3,200
6,759,30,0.5299145299145299,0.03,I3,200
5,814,55,0.5601851851851852,0.025,I3,200
4,882,68,0.603988603988604,0.02,I3,200
3,957,75,0.6549145299145299,0.015,I3,200
2,1087,130,0.7279202279202279,0.01,I3,200
1,1404,317,0.8871082621082621,0.005,I3,200
58,58,58,0.034688995215311005,0.29,U1,200
39,97,39,0.09270334928229665,0.195,U1,200
37,134,37,0.13815789473684212,0.185,U1,200
34,168,34,0.180622009569378,0.17,U1,200
20,188,20,0.21291866028708134,0.1,U1,200
15,203,15,0.23385167464114834,0.075,U1,200
14,245,42,0.2679425837320574,0.07,U1,200
12,257,12,0.30023923444976075,0.06,U1,200
11,290,33,0.32715311004784686,0.055,U1,200
10,330,40,0.3708133971291866,0.05,U1,200
9,357,27,0.41088516746411485,0.045,U1,200
8,405,48,0.4557416267942584,0.04,U1,200
7,461,56,0.5179425837320574,0.035,U1,200
6,479,18,0.562200956937799,0.03,U1,200
5,509,30,0.5909090909090909,0.025,U1,200
4,557,48,0.6375598086124402,0.02,U1,200
3,614,57,0.7003588516746412,0.015,U1,200
2,684,70,0.7763157894736842,0.01,U1,200
1,836,152,0.9090909090909091,0.005,U1,200
57,57,57,0.027968596663395486,0.285,U2,200
34,91,34,0.07262021589793916,0.17,U2,200
21,112,21,0.09960745829244357,0.105,U2,200
19,150,38,0.12855740922473013,0.095,U2,200
17,201,51,0.17222767419038273,0.085,U2,200
15,216,15,0.20461236506378802,0.075,U2,200
14,230,14,0.21884200196270853,0.07,U2,200
12,254,24,0.23748773307163887,0.06,U2,200
11,276,22,0.26005888125613347,0.055,U2,200
10,336,60,0.30029440628066734,0.05,U2,200
9,354,18,0.338567222767419,0.045,U2,200
8,394,40,0.36702649656526004,0.04,U2,200
7,429,35,0.40382728164867515,0.035,U2,200
